ORI_APP,SMS,SCREEN,PRESENT,POWERDISCON,POWERCON,PACKAGEREMOVE,PACKAGEADD,LOCATION,CONNECTOIN,BOOTCOMPLETE
04ead53481d7356588ce73ebb93d1eef768ace10b781a1d14fc774a86fd356a3,fa5bb67297c3bfaa974a558aa45b42454c6432ac3995d0301b8f7e50080e2441,144cc3f85b1b1080eb9a32bbfc80f5f4dbba1f8938aedc5c091d9d0577450409,e7d2d8060622b3a49943c8dc5516cc2381e3a8234c5862c922780e597f4295de,b953ca9a974de963a1840e7a8678eb3d65631c458cad72e126ca0e6ec095ccfe,0ac9006209923877b85e5f40bed488c9cda90e854fd39d2063b610f948b14a30,4502a7019a485d7c46b8b29627998edcff6723beb88443d94cc98d69d7cf204b,4b37163360d3d402eadfa7ae5cadd23dba6ae4891f0f6b709cfa6080380bb77b,2b1809940109124c0a7b5bb68abfdd718b0d434fe9d67bda5a594be1baceed1b,43a65364523f9fdc44b333f32f182609d51199469bd6f8316938ca4778ee82d1,ded7d4378d72dec8c8cc2d456e678337abe3baf4db143048b25bbc3bdeb906cd
002f24e6d1ac40b549a64c0a9a647cb665c8e46a32916fba51b31ac70c5cc9be,6a73ca604ff42aaa8bc3fd1970b200bd96efb90d2ae1551f3b7551658d6cc90c,c9c39033a901785b8916362e3f11f5f681d72f749213eb51d08092a5aafaff8e,35c7db388ee822180069e898325dc46f315dfece72a6766fd43bb6384dc98686,368e1cd1ca7fb2c7e882ddb838cc67db9ca4c5569e69bccbf602afb192992bba,9abebce505237c8c0eecd4eeb9cd373746c3f07f987b0f60c007d2a5bff8e395,b997fa402f732a4e516511deab1a1003fea7ccfafd09f2351dc8230d4634c0c0,619c42c0c297827eab7c6002a926f5910c9f6d2cbedc1cf59c99dc4d1c772894,9bf272a7065186d1ad310028210a573a8894ba8c639c367495b632e28421595e,1c7d26279d8fa0e43cae99d2171eea888895ddb9b36158dacbb4b4d4e3f4a43c,4072221b066fe76eb9e5312270bd627d0900ee0792d0ca49970979d5592feffd
09849ea3d2758ad7d94af4bfca8bcb2faad91107cfd42aa87d0ca0281eb88696,b921f77e57f041f550973e6e197605f427b4cfb6826add04020bb25723e5572a,3d774d5076041b4e411b5b39657ee308da434f382c21f1e2960e39f8d6f1abe7,dea6ba30b1173b1be095b24575cfe4be4ff7adaa6f2fdb568d29273c07cbcccf,991e25dd60244b7614df007cef4ee7ad49b41b22bd25902c9a9bf57c49eadf51,d850994019d46d9a4fdfe4842faa6f7d19452e6396713f50fd7bdee11620f55f,8a36de5bc8407e75919ad7f118a0b2e132c9832348c677ab019e35e65cfaab34,b96b0e017de0e59687ecb48096665ac8be577501c9dd9f82d06237bb7a388bae,6ed7bf7452a75129ebfcb6ee4bf8dce065fde46da00732b3b52d324294f3747b,f828ff2587b8cefca746c66e47efb199d85885140f9c2c37636ccd4d0b566158,d65651f9ffa3e09d239ae6e2eb47e2df27d694025ff645d4eb343a7296cdf84a
07fd179996f62c9cd7cbf1bdba8558b06a7354fa23e08adb1b655e29cbc549d0,cc4c17c8b423003999f0410e586a485201f82ea2ff275ba46a82488f5b7248da,7dca4e3e626155b9c7b6151e17a418bc0c99ab54bb9df2609672551064e01968,65854671cbb7be06cf9c04388fd0603d09321e710308f4c3dc6225cf590a97a3,2ec2a83a2cf89c8171a96e92289892e7aa4c1f188fbbea544b0d187e4c923d1e,9843f211733e26a2cd483ecdbd7f168106f30abdd966a8cfbdd61bc6c3f1e73f,d3327c4c53b095c78ca9ccd093a81a521a3a3c6fff52cf742a4278a49f55f3ce,00ce3e1f8d1732a17b937a8b8f943d8b47d98880f74ee6af6deaac426a070ac9,e826c87f7b46d5071f80ad4903eb50160d8bf39dadd52ed1073a7d6d6cd03b25,9fdd8b27f256a8917f8cdab518976aa2510dc94c5408b5f7570835901d79b4e4,f3413bfdb8107118525f0dbee17eb3b2c56b12f214819f77d347bb4f1944f20d
0897d40edb8b6b585f38ca1a9866bd03cd70a5035cc0ec28f933d702f9a38a03,de0c244e9aef8904f14fc80692ce965f572e657136701ece575f5e54e890dcf3,329c0a055aab278e377ea2dfa3c56b6ef60cdfd5ec5f94b3e691d40d88e68de5,1c855dffdf5baef54dfc23ec69dfe17f8901d3047a7c5a112c62cddee67dc353,f41e3c8923655ada1e65787b42f5f729605115c446e5ad3b8afcc448f5167fec,89fa8273037605bd276bf7abdecc298e686ec0762ed7ceb33b880098a24b05b9,7a0da1e3f72abaf05e23f63579c717eef343c319d062f341d43ad43216395871,b87d9dd9fc4076e17c30d7113386ee56c30632a487f473e417a5affb5bcfdd55,aa0a75988a9ddcd4dbd234e33758cf1dc63e968a807960677ee46464e8f1dc05,a3b71aa77589f8975bb80b1bf8f48d6cb2b77ae6c565fcd41cecb033b3fa4a71,ce1992f22d01775e8a535f3ffbfa41fa089349184d8a0433f0ae8898a19f78ab
066d2664c58c6a7ff6fdbb0f37288b71da7d9d58ed941e9d6aacf591f899c14a,b834cb4d33e893bcba0b60386411d6054d76f0617b1dbcd571cf3e34632bf692,95e79c198ff66b12812a684a24bf2e6eaec7c07529bdd001af568d70390e0fb6,82218941f818f6e82f7d4904b0135bd6e0f782758d8784ce90ac57b95e0d1fe0,5215d7561daabb7f29afac1f3a86ceead23b6307f1df9e9bd8cf29236150088c,281f4f00a1df7faac5d6aa148fddbc6c9992b770c39f4c6d80aecbe2081daa54,a469733821c4d3f3e4b710b014f3d3004ec6ee0920b71f6a4d27756a3e8b7150,b6a54a760b56f2ed4e5b62ed493cd49c7b79787c757b8523bd6636dcacefb6fc,41749d6959f99633b0447079758630aed33e6fe7f6a08aa2dfbb42c757113132,4144e79ab1453fe94c53cd378db97b2b88c4564416ee0270926682b99cd446d7,a2929fd1344e3b25fea7b58a4885ce1ab157cfbd7c4a4c9b4d18ba7d0d3bb03d
0a1fa1cfc0503767dcbce7204219ec9a83e87a025cbafb1a78d77a8dec31ae55,29c27d4b354c97f577aa303812c12abc453c96bfa2a9bf870a26f83e60bfbd78,c80d2b4dc0da645f511c9882ed88f3226c5e039345b1cc50599d2daf20085a6b,7e002b98d5c4ba342e7890e92e48161e307bf33f3cc1b5bde97ced14544b31ba,78d9f0d2c6fb2dcc42aa7e34bb144b1793446524b4daeb1684cae199f985dbce,c072a8c162cd5968602779c7bde4bc043df37b09e481574c9cd2278daf4cf223,ec0a007c91f8b4adf29b5b471840b25921336914db00a35da4e9a55659dd5d76,ceb80c4211bf7e331501ade5a3020e15510e25eb981fe6f6100e686904041f2a,1672ca735526be565ced40120ee992034eac2de5bb9d4c907ccd6afd2a850722,42c564ee0c3cb0fabb1a29ad880dc15ba6cb43a3b458485ac92a2cd2be88f959,3ac99b854cee3662cd7df8f28fde2d6fbcda1bbc3f48777dbf189a35ca36025a
015b473e1d56054bed16899430ea95f9ac940a45ab0ec4888a119279667e7916,7edf9426da3d8e9d8f422f5bb098da37679e445810ea3adbf5a66d69beedf418,778978958dd85d6626e71d82e1aafab5282a8c5f75630a6a022e6cd771f75235,b3e5a37e0cdfa33a696330fa6bd0cf57db9a883e8a6e8ad14cdd24ca66fbfaa6,8d6e6b9770f2821b660f48caac2a1b3b4e54cf09f10b75b79b4a7ce877477fbc,d25cd8d3a4dc2e74cf9a1ee4dfaca1d70bf252c63116e81d1836ab4313c78b27,3d05af45a11a474623c0887b451b0e2abb4c89c3925e6a1aca9b668bd42fbaec,e06695095e0f005187aab8e37e52bc3637f9b5686d8fcb92c1d9e2e78f9a049b,35eaf4cb90046bfdf9c69680234e3f4989cf40bb49e7b0e2cea154701cdb44a1,1b4c103816ab59b358db4d21919bf119df2406c6042b4bf7c69d2190080d6b32,b5fd17f3c767abc4495abcc0dd75e738913fe4359b1cd570712633c901b4e6d4
082b49d324945d777f5a3d4d4de8c121ed7d98d333a6ca46b18b6a0cd5e0737c,e82c3b92644c69114c113921de3b4d36733e04df926edcddc75f28a3c4a2c45f,ca4aecb782896f89c2742d0809d764b05dca6c47c9e0f75731aab490ef20036e,0806f98544fa985456ae647c4cbe5e2c62524af2426f26a51612ea971bf3b262,c3c5fdb58b6dc4a2b72abef7ac2c0aff3a0e45768649c102a42194575ac5d39e,682351077312d030b1af24bd075d5665495ba57617ccf16125f71dee7d001ca9,b59eb2d6a1091d0d9946fa6d5ebade35b410f9054cdbe749541efad9a4266177,3e7f6032f1f410ad904ba5d6155067fad7c8867e2a6b646b2df274fdceea0881,90b5ff5771b105fd786a392badf86251670feec5a3715788b705dcc22dab83ff,4db3b4612b78fb6beb008eba50010615c9bd9854df9a50ae11ee512c10116bd2,63ec16118601aff9e541db7a29e2c2960958d82a2c2ae73003abc406b60a1a59
03544d6b1b6b6f1a8a1b7ea5b61f2c24731569e51a4428874b827213d810179e,75b338c802bdc9d916965b53d44923e6422ddf04fb43dfe468437c64abfa1f8b,b35c5960400fa66fe95657046098d97156770c50b4ee597dd3f193ff57eb7cbd,5be2d7949c618fc3aa097cc2ee3cbc3b114bc74a72685bca6a9653a1c9ba30ae,05b1257b73745b8c01e10d58a9de620a60f0039bf81c79355c963d1a457049eb,a53df3597a0cf4d7f006aad81ab4a175c4d0fdd585a8e4a61275db082b4c6be5,95b6c3de32408e481b4667d4858665ba26592a0014d197019651971cb985c42d,1bb3c8c5c9c9ef738a8dcb5e4cbd39595687895e9d9ba64379c7130b1c762e53,c65e8207086b60074e4863514155fc4c8898e5677abef8c6d32a6f39ccd593b9,e687eb954c966bc60d85cc60b02706ac3263bbb600067917cf8651bc66be2f45,9defedaf96e19b16a3f959401883e9548c971adcecc01965e3415e6e5b3f741f
